fact_user_daily_activity_id,user_key,date_key,subscription_plan_key,campaign_key,is_premium,has_active_subscription,logins_count,sessions_count,minutes_watched,lessons_completed,quizzes_attempted,distinct_courses_accessed,active_days_last_30d,days_since_last_login,is_inactive_7d_flag,active_courses_count,completed_courses_total,created_at
123,783,20250822,4,32,False,False,0,0,0,0,0,0,12,41,True,0,0,2025-11-20 19:31:33.766024
124,326,20250822,2,15,True,True,4,4,216,4,2,3,4,3,False,3,4,2025-11-20 19:31:33.766028
125,305,20250822,4,22,True,True,0,0,0,0,0,0,7,9,True,0,0,2025-11-20 19:31:33.766031
126,909,20250822,3,49,True,True,0,0,0,0,0,0,2,11,True,0,0,2025-11-20 19:31:33.766033
127,835,20250822,2,2,False,False,5,7,297,7,3,3,1,4,False,3,7,2025-11-20 19:31:33.766038
128,128,20250822,4,44,True,False,3,4,63,1,5,3,25,0,False,3,1,2025-11-20 19:31:33.766042
129,750,20250822,4,2,True,True,1,1,102,6,0,1,22,0,False,1,6,2025-11-20 19:31:33.766046
130,718,20250822,3,30,False,True,5,6,247,9,0,2,11,2,False,2,9,2025-11-20 19:31:33.766051
131,106,20250822,4,17,True,False,0,0,0,0,0,0,9,23,True,0,0,2025-11-20 19:31:33.766054
132,362,20250822,1,26,False,True,4,5,252,2,3,1,23,5,False,1,2,2025-11-20 19:31:33.766058
133,590,20250822,1,9,False,True,0,0,0,0,0,0,3,31,True,0,0,2025-11-20 19:31:33.766060
134,915,20250822,4,13,True,False,4,4,202,8,5,2,20,2,False,2,8,2025-11-20 19:31:33.766065
135,209,20250822,2,1,True,False,1,2,134,5,4,1,8,2,False,1,5,2025-11-20 19:31:33.766069
136,969,20250822,3,8,True,False,2,5,282,1,3,3,3,4,False,3,1,2025-11-20 19:31:33.766074
137,681,20250822,3,42,True,True,3,5,33,3,4,1,30,5,False,1,3,2025-11-20 19:31:33.766078
138,152,20250822,5,28,False,True,0,0,0,0,0,0,2,51,True,0,0,2025-11-20 19:31:33.766081
139,36,20250822,1,5,False,True,4,4,67,6,5,2,1,2,False,2,6,2025-11-20 19:31:33.766085
140,220,20250822,2,25,False,False,4,2,142,7,5,3,1,6,False,3,7,2025-11-20 19:31:33.766089
141,127,20250822,4,29,True,True,2,8,157,10,3,3,22,2,False,3,10,2025-11-20 19:31:33.766093
142,676,20250822,4,22,True,True,5,6,111,5,5,3,30,0,False,3,5,2025-11-20 19:31:33.766097
143,962,20250822,4,15,True,False,0,0,0,0,0,0,14,53,True,0,0,2025-11-20 19:31:33.766100
144,860,20250822,1,39,False,True,1,4,184,0,5,1,14,7,False,1,0,2025-11-20 19:31:33.766105
145,993,20250822,3,28,True,False,1,4,223,4,0,2,19,1,False,2,4,2025-11-20 19:31:33.766109
146,77,20250822,1,20,True,False,5,8,66,7,0,3,18,2,False,3,7,2025-11-20 19:31:33.766113
147,695,20250822,1,12,True,False,4,6,80,0,3,3,24,2,False,3,0,2025-11-20 19:31:33.766118
148,847,20250822,2,21,False,False,2,7,216,7,1,2,4,4,False,2,7,2025-11-20 19:31:33.766122
149,549,20250822,5,18,True,False,0,0,0,0,0,0,0,38,True,0,0,2025-11-20 19:31:33.766125
150,272,20250822,4,20,False,False,3,5,147,0,5,3,8,3,False,3,0,2025-11-20 19:31:33.766130
151,826,20250822,5,18,False,False,3,8,120,9,2,1,22,1,False,1,9,2025-11-20 19:31:33.766134
152,822,20250822,5,21,False,True,0,0,0,0,0,0,12,41,True,0,0,2025-11-20 19:31:33.766136
153,939,20250822,2,21,True,True,2,6,167,2,2,3,28,2,False,3,2,2025-11-20 19:31:33.766141
154,328,20250822,4,8,False,True,5,1,87,0,3,2,2,0,False,2,0,2025-11-20 19:31:33.766145
155,207,20250822,3,32,True,False,5,3,161,0,3,1,16,2,False,1,0,2025-11-20 19:31:33.766150
156,959,20250822,5,45,True,True,2,4,265,2,4,1,14,6,False,1,2,2025-11-20 19:31:33.766154
157,949,20250822,3,36,False,False,1,1,45,4,2,2,7,0,False,2,4,2025-11-20 19:31:33.766159
158,751,20250822,3,48,True,True,3,4,51,7,3,2,14,0,False,2,7,2025-11-20 19:31:33.766163
159,977,20250822,4,11,True,False,4,1,38,1,2,1,27,5,False,1,1,2025-11-20 19:31:33.766167
160,358,20250822,2,7,True,False,0,0,0,0,0,0,4,56,True,0,0,2025-11-20 19:31:33.766170
161,839,20250822,1,19,False,True,2,4,199,4,4,2,4,0,False,2,4,2025-11-20 19:31:33.766174
162,85,20250822,3,23,True,True,0,0,0,0,0,0,4,58,True,0,0,2025-11-20 19:31:33.766177
163,824,20250822,1,34,True,False,3,4,225,7,1,1,6,5,False,1,7,2025-11-20 19:31:33.766181
164,591,20250822,5,13,True,True,1,3,290,10,0,2,9,1,False,2,10,2025-11-20 19:31:33.766186
165,582,20250822,1,37,False,True,1,1,107,2,3,2,29,2,False,2,2,2025-11-20 19:31:33.766190
166,955,20250822,4,45,True,False,0,0,0,0,0,0,12,14,True,0,0,2025-11-20 19:31:33.766193
167,331,20250822,2,2,False,True,0,0,0,0,0,0,7,11,True,0,0,2025-11-20 19:31:33.766195
168,756,20250822,4,37,False,True,5,6,32,0,4,3,4,7,False,3,0,2025-11-20 19:31:33.766200
169,663,20250822,5,45,False,False,5,8,133,9,5,2,4,4,False,2,9,2025-11-20 19:31:33.766204
170,224,20250822,4,40,True,False,1,4,271,2,2,3,6,5,False,3,2,2025-11-20 19:31:33.766208
171,587,20250822,4,9,True,True,5,5,203,9,5,1,6,6,False,1,9,2025-11-20 19:31:33.766213
172,82,20250822,2,49,True,False,3,1,120,5,4,1,25,4,False,1,5,2025-11-20 19:31:33.766217
173,871,20250822,2,32,False,True,0,0,0,0,0,0,15,29,True,0,0,2025-11-20 19:31:33.766220
174,304,20250822,5,8,True,False,1,3,207,1,1,3,28,0,False,3,1,2025-11-20 19:31:33.766224
175,66,20250822,5,34,True,True,0,0,0,0,0,0,15,53,True,0,0,2025-11-20 19:31:33.766227
176,606,20250822,3,38,False,False,0,0,0,0,0,0,9,33,True,0,0,2025-11-20 19:31:33.766230
177,208,20250822,2,30,False,False,0,0,0,0,0,0,12,55,True,0,0,2025-11-20 19:31:33.766232
178,237,20250822,3,8,False,True,2,1,127,3,2,3,30,1,False,3,3,2025-11-20 19:31:33.766237
179,386,20250822,4,12,False,False,0,0,0,0,0,0,10,43,True,0,0,2025-11-20 19:31:33.766240
180,912,20250822,5,25,False,False,3,3,93,7,5,2,5,1,False,2,7,2025-11-20 19:31:33.766244
181,524,20250822,3,41,True,True,4,2,16,5,1,1,30,3,False,1,5,2025-11-20 19:31:33.766249
182,280,20250822,5,9,False,True,2,4,148,4,2,3,17,5,False,3,4,2025-11-20 19:31:33.766253
183,204,20250822,2,42,True,False,4,5,81,8,5,2,29,6,False,2,8,2025-11-20 19:31:33.766257
184,628,20250822,1,19,True,False,3,1,98,7,4,1,27,7,False,1,7,2025-11-20 19:31:33.766262
185,468,20250822,5,1,True,False,0,0,0,0,0,0,11,20,True,0,0,2025-11-20 19:31:33.766264
186,547,20250822,2,17,False,True,0,0,0,0,0,0,5,57,True,0,0,2025-11-20 19:31:33.766267
187,116,20250822,5,37,True,False,5,7,61,7,2,2,5,1,False,2,7,2025-11-20 19:31:33.766271
188,529,20250822,1,29,False,False,0,0,0,0,0,0,13,55,True,0,0,2025-11-20 19:31:33.766274
189,155,20250822,2,8,True,True,0,0,0,0,0,0,9,18,True,0,0,2025-11-20 19:31:33.766277
190,54,20250822,3,11,False,True,5,4,117,10,3,3,17,5,False,3,10,2025-11-20 19:31:33.766281
191,11,20250822,3,39,True,True,4,5,72,6,3,1,22,5,False,1,6,2025-11-20 19:31:33.766285
192,534,20250822,4,15,False,True,2,6,133,1,1,1,6,2,False,1,1,2025-11-20 19:31:33.766290
193,926,20250822,5,32,True,False,0,0,0,0,0,0,15,52,True,0,0,2025-11-20 19:31:33.766293
194,998,20250822,2,23,True,True,4,2,129,0,3,2,18,7,False,2,0,2025-11-20 19:31:33.766298
195,961,20250822,1,44,False,True,0,0,0,0,0,0,14,47,True,0,0,2025-11-20 19:31:33.766303
196,782,20250822,3,46,True,False,3,6,58,6,3,2,13,4,False,2,6,2025-11-20 19:31:33.766308
197,785,20250822,1,43,False,False,3,2,15,0,1,2,1,0,False,2,0,2025-11-20 19:31:33.766312
198,903,20250822,1,15,True,False,2,6,291,5,2,2,23,5,False,2,5,2025-11-20 19:31:33.766317
199,673,20250822,1,50,True,True,1,7,46,6,1,3,14,7,False,3,6,2025-11-20 19:31:33.766321
200,104,20250822,4,22,False,False,2,2,20,0,1,1,8,3,False,1,0,2025-11-20 19:31:33.766326
201,844,20250822,2,43,False,True,5,5,68,4,5,1,25,0,False,1,4,2025-11-20 19:31:33.766330
202,414,20250822,3,39,True,True,5,4,63,0,5,3,4,1,False,3,0,2025-11-20 19:31:33.766335
203,723,20250822,5,49,True,False,0,0,0,0,0,0,2,41,True,0,0,2025-11-20 19:31:33.766337
204,72,20250822,2,19,True,False,3,6,283,6,0,1,21,1,False,1,6,2025-11-20 19:31:33.766342
205,446,20250822,4,29,False,False,2,1,181,2,3,2,24,2,False,2,2,2025-11-20 19:31:33.766346
206,611,20250822,3,3,False,False,3,1,134,0,1,2,19,1,False,2,0,2025-11-20 19:31:33.766350
207,147,20250822,2,47,True,False,1,1,279,6,3,3,20,3,False,3,6,2025-11-20 19:31:33.766355
208,49,20250822,4,22,False,True,0,0,0,0,0,0,3,50,True,0,0,2025-11-20 19:31:33.766358
209,804,20250822,1,11,False,False,5,8,62,3,1,2,1,6,False,2,3,2025-11-20 19:31:33.766362
210,737,20250822,4,27,True,True,5,1,41,6,5,2,23,5,False,2,6,2025-11-20 19:31:33.766366
211,700,20250822,5,47,False,False,5,4,62,9,4,2,5,6,False,2,9,2025-11-20 19:31:33.766371
212,373,20250822,2,40,True,True,3,7,98,8,5,2,9,4,False,2,8,2025-11-20 19:31:33.766375
213,163,20250822,5,32,False,False,0,0,0,0,0,0,8,26,True,0,0,2025-11-20 19:31:33.766378
214,177,20250822,4,16,False,False,5,2,159,0,4,1,8,7,False,1,0,2025-11-20 19:31:33.766382
215,95,20250822,5,39,False,True,0,0,0,0,0,0,1,41,True,0,0,2025-11-20 19:31:33.766385
216,784,20250822,3,29,True,True,4,6,250,1,0,1,26,6,False,1,1,2025-11-20 19:31:33.766389
217,380,20250822,3,46,True,True,0,0,0,0,0,0,8,33,True,0,0,2025-11-20 19:31:33.766392
218,787,20250822,2,16,False,False,0,0,0,0,0,0,10,39,True,0,0,2025-11-20 19:31:33.766395
219,896,20250822,1,35,True,True,0,0,0,0,0,0,2,9,True,0,0,2025-11-20 19:31:33.766399
220,4,20250822,3,27,False,False,0,0,0,0,0,0,9,8,True,0,0,2025-11-20 19:31:33.766401
221,777,20250822,5,24,True,False,5,4,32,4,3,3,10,5,False,3,4,2025-11-20 19:31:33.766406
222,450,20250822,2,45,True,False,0,0,0,0,0,0,9,31,True,0,0,2025-11-20 19:31:33.766409
223,282,20250822,2,30,False,True,1,1,99,5,2,1,1,2,False,1,5,2025-11-20 19:31:33.766413
224,629,20250822,4,44,True,False,1,6,243,5,1,1,7,6,False,1,5,2025-11-20 19:31:33.766417
225,525,20250822,3,32,False,False,3,5,46,4,5,1,2,5,False,1,4,2025-11-20 19:31:33.766421
226,674,20250822,3,36,False,False,5,1,268,2,1,3,17,7,False,3,2,2025-11-20 19:31:33.766426
227,183,20250822,1,42,True,False,0,0,0,0,0,0,14,26,True,0,0,2025-11-20 19:31:33.766429
228,905,20250822,4,9,True,True,5,5,70,0,2,2,3,3,False,2,0,2025-11-20 19:31:33.766433
229,859,20250822,5,25,True,False,0,0,0,0,0,0,6,45,True,0,0,2025-11-20 19:31:33.766436
230,686,20250822,1,22,False,True,3,4,58,7,0,3,3,5,False,3,7,2025-11-20 19:31:33.766440
231,994,20250822,5,16,True,True,0,0,0,0,0,0,11,45,True,0,0,2025-11-20 19:31:33.766443
232,169,20250822,5,16,True,False,0,0,0,0,0,0,2,35,True,0,0,2025-11-20 19:31:33.766445
233,448,20250822,5,31,False,True,3,6,137,2,2,3,3,7,False,3,2,2025-11-20 19:31:33.766450
234,240,20250822,5,42,False,True,3,3,158,3,2,3,3,4,False,3,3,2025-11-20 19:31:33.766455
235,505,20250822,5,29,True,True,4,7,245,9,0,1,16,1,False,1,9,2025-11-20 19:31:33.766459
236,948,20250822,4,27,True,False,1,7,164,9,0,2,14,0,False,2,9,2025-11-20 19:31:33.766463
237,540,20250822,4,48,False,False,2,4,260,6,3,2,5,0,False,2,6,2025-11-20 19:31:33.766468
238,754,20250822,1,34,False,False,0,0,0,0,0,0,11,57,True,0,0,2025-11-20 19:31:33.766471
239,234,20250822,1,26,True,True,2,4,41,5,1,1,24,6,False,1,5,2025-11-20 19:31:33.766475
240,908,20250822,2,33,False,False,5,2,123,6,5,2,21,0,False,2,6,2025-11-20 19:31:33.766479
241,580,20250822,4,40,True,True,4,5,101,10,2,3,1,1,False,3,10,2025-11-20 19:31:33.766483
242,984,20250822,3,3,True,True,1,5,61,4,5,1,5,3,False,1,4,2025-11-20 19:31:33.766488
243,80,20250822,2,5,False,True,5,7,68,2,3,1,2,4,False,1,2,2025-11-20 19:31:33.766492
244,605,20250822,5,30,True,False,2,5,82,1,3,1,5,5,False,1,1,2025-11-20 19:31:33.766497
245,365,20250822,1,9,False,False,4,2,252,3,3,2,26,4,False,2,3,2025-11-20 19:31:33.766501
246,83,20250822,5,50,False,True,1,6,249,2,0,2,4,4,False,2,2,2025-11-20 19:31:33.766505
247,899,20250822,1,3,False,False,3,3,146,6,1,2,29,5,False,2,6,2025-11-20 19:31:33.766510
248,231,20250822,4,13,False,True,0,0,0,0,0,0,8,36,True,0,0,2025-11-20 19:31:33.766512
249,519,20250822,2,31,True,False,4,5,80,6,5,2,9,4,False,2,6,2025-11-20 19:31:33.766517
250,105,20250822,4,46,True,False,0,0,0,0,0,0,7,23,True,0,0,2025-11-20 19:31:33.766520
251,670,20250822,3,1,False,True,4,1,27,4,4,1,12,6,False,1,4,2025-11-20 19:31:33.766524
252,17,20250822,4,24,False,False,4,4,191,10,2,1,20,2,False,1,10,2025-11-20 19:31:33.766529
253,315,20250822,3,2,True,True,3,1,90,7,5,2,23,0,False,2,7,2025-11-20 19:31:33.766534
