activity_id,user_key,date_key,subscription_plan_key,logins_count,sessions_count,minutes_watched,lessons_completed,quizzes_attempted,distinct_courses_accessed,active_days_last_30d,days_since_last_login,is_inactive_7d_flag,is_premium,has_active_subscription
30,624,20250822,3,5,8,290,3,2,1,21,3,False,True,False
31,267,20250822,2,0,0,0,0,0,0,11,10,True,False,True
32,847,20250822,5,2,8,182,5,4,3,9,2,False,True,True
33,569,20250822,3,4,7,221,6,5,2,8,3,False,True,True
34,852,20250822,2,4,3,65,3,1,2,6,2,False,False,False
35,203,20250822,1,2,8,63,10,0,2,5,1,False,False,True
36,77,20250822,1,3,5,145,8,4,3,10,1,False,False,False
37,390,20250822,2,0,0,0,0,0,0,2,44,True,True,False
38,843,20250822,5,2,5,185,3,0,2,23,3,False,True,False
39,329,20250822,5,0,0,0,0,0,0,9,57,True,False,False
40,102,20250822,4,1,8,99,10,4,2,24,4,False,False,False
41,462,20250822,5,0,0,0,0,0,0,4,48,True,False,False
42,193,20250822,4,1,3,195,4,0,1,3,1,False,False,False
43,50,20250822,2,0,0,0,0,0,0,10,56,True,True,False
44,842,20250822,1,0,0,0,0,0,0,9,22,True,True,True
45,745,20250822,5,1,2,278,8,4,3,10,0,False,False,False
46,362,20250822,2,1,5,155,0,0,1,5,4,False,True,True
47,105,20250822,4,0,0,0,0,0,0,1,8,True,False,True
48,351,20250822,4,5,5,233,8,3,1,26,1,False,False,False
49,62,20250822,2,1,8,296,1,4,3,14,1,False,True,True
50,800,20250822,1,5,4,292,4,0,1,12,6,False,False,True
51,902,20250822,1,2,7,58,5,2,3,17,3,False,True,True
52,588,20250822,2,0,0,0,0,0,0,4,47,True,True,False
53,157,20250822,3,0,0,0,0,0,0,7,25,True,False,True
54,481,20250822,3,2,3,156,2,5,2,13,6,False,False,True
55,442,20250822,3,2,2,295,2,1,1,3,7,False,True,False
56,113,20250822,1,1,7,32,5,0,3,19,0,False,True,False
57,535,20250822,3,1,7,216,0,5,2,27,5,False,True,True
58,314,20250822,1,0,0,0,0,0,0,1,41,True,True,False
59,147,20250822,1,5,8,46,3,3,1,16,1,False,True,True
60,304,20250822,5,4,1,270,7,3,1,5,0,False,True,True
61,642,20250822,3,0,0,0,0,0,0,4,12,True,True,True
62,798,20250822,5,1,6,260,8,1,2,12,6,False,False,False
63,60,20250822,2,5,6,72,4,2,2,16,6,False,True,True
64,345,20250822,5,0,0,0,0,0,0,10,32,True,False,False
65,827,20250822,2,2,5,269,3,5,1,18,0,False,False,False
66,150,20250822,3,2,7,93,6,2,3,20,3,False,True,True
67,84,20250822,4,5,6,212,3,1,3,14,4,False,True,False
68,695,20250822,1,4,4,169,1,0,2,10,4,False,False,False
69,55,20250822,3,0,0,0,0,0,0,8,30,True,False,True
70,381,20250822,3,0,0,0,0,0,0,9,37,True,False,True
71,661,20250822,3,1,7,224,5,5,1,19,6,False,False,True
72,556,20250822,4,0,0,0,0,0,0,3,21,True,False,True
73,813,20250822,3,4,3,256,8,0,2,14,6,False,False,True
74,521,20250822,3,0,0,0,0,0,0,1,47,True,True,True
75,563,20250822,4,2,4,245,10,0,2,26,0,False,True,False
76,930,20250822,3,1,3,235,8,5,2,8,2,False,False,False
77,754,20250822,2,0,0,0,0,0,0,14,49,True,True,False
78,773,20250822,2,0,0,0,0,0,0,11,31,True,False,False
79,637,20250822,1,1,4,80,8,5,3,6,7,False,True,True
80,807,20250822,1,5,3,148,2,0,1,10,7,False,True,True
81,387,20250822,2,3,3,252,0,3,2,22,2,False,False,False
82,543,20250822,2,0,0,0,0,0,0,8,33,True,False,False
83,451,20250822,2,1,8,210,3,5,3,22,4,False,True,True
84,765,20250822,4,1,5,241,5,5,3,26,1,False,False,False
85,206,20250822,1,0,0,0,0,0,0,8,18,True,False,False
86,425,20250822,1,2,4,258,2,1,1,6,7,False,True,False
87,209,20250822,3,4,2,258,10,5,1,25,0,False,False,True
88,184,20250822,2,4,8,69,5,2,2,11,6,False,True,False
89,389,20250822,4,2,1,67,7,2,1,17,6,False,False,False
90,808,20250822,1,4,8,91,6,1,2,8,2,False,False,False
91,115,20250822,5,0,0,0,0,0,0,6,52,True,False,True
92,457,20250822,3,2,3,92,5,3,1,6,1,False,True,True
93,530,20250822,5,5,4,19,1,3,2,3,2,False,True,True
94,658,20250822,1,1,2,42,3,2,3,15,1,False,False,True
95,335,20250822,5,0,0,0,0,0,0,10,8,True,True,True
96,825,20250822,3,5,3,37,5,4,2,7,0,False,False,False
97,418,20250822,2,0,0,0,0,0,0,9,45,True,True,False
98,516,20250822,2,1,8,12,4,0,1,27,6,False,True,True
99,86,20250822,5,2,2,92,5,0,3,8,7,False,True,False
100,630,20250822,4,5,3,263,8,4,3,13,3,False,False,True
101,874,20250822,2,4,7,237,2,4,1,17,4,False,True,True
102,33,20250822,3,3,6,51,5,1,2,10,0,False,False,False
103,483,20250822,3,4,8,37,10,2,3,27,7,False,True,True
104,586,20250822,1,0,0,0,0,0,0,3,37,True,True,False
105,603,20250822,5,1,2,223,3,0,2,2,0,False,False,True
106,420,20250822,4,2,1,100,8,4,1,27,1,False,True,True
107,220,20250822,1,0,0,0,0,0,0,3,38,True,True,True
108,823,20250822,4,5,5,246,5,0,1,11,3,False,False,False
109,319,20250822,1,4,5,80,10,2,1,11,7,False,False,True
110,226,20250822,1,5,4,269,8,4,2,6,0,False,True,True
111,512,20250822,1,1,8,141,8,4,3,2,5,False,True,True
112,682,20250822,4,2,2,223,7,5,2,2,2,False,False,True
113,323,20250822,1,3,8,279,4,4,3,8,2,False,True,True
114,309,20250822,5,4,3,114,6,4,1,28,0,False,True,True
115,434,20250822,2,5,2,144,1,1,1,16,6,False,True,False
116,692,20250822,4,2,3,132,3,4,1,20,5,False,True,False
117,376,20250822,2,0,0,0,0,0,0,10,24,True,False,True
118,34,20250822,5,0,0,0,0,0,0,7,49,True,True,True
119,967,20250822,2,5,7,72,10,2,2,2,2,False,True,False
120,934,20250822,4,5,1,100,4,0,1,19,5,False,True,True
121,865,20250822,3,2,2,39,3,3,3,22,5,False,True,False
122,665,20250822,3,5,3,215,10,5,1,14,6,False,False,False
123,593,20250822,2,0,0,0,0,0,0,10,25,True,False,True
124,639,20250822,2,5,1,55,2,1,2,5,1,False,True,False
125,300,20250822,2,5,3,230,6,2,2,19,5,False,False,True
126,900,20250822,1,1,8,85,5,4,3,13,6,False,False,False
127,358,20250822,4,0,0,0,0,0,0,14,51,True,False,False
128,417,20250822,5,0,0,0,0,0,0,4,17,True,False,True
129,620,20250822,3,5,6,172,9,2,1,24,6,False,True,False
130,338,20250822,1,0,0,0,0,0,0,7,29,True,False,False
131,468,20250822,1,4,2,129,5,3,1,3,0,False,False,True
132,244,20250822,2,0,0,0,0,0,0,1,60,True,False,False
133,347,20250822,1,0,0,0,0,0,0,6,34,True,False,False
134,752,20250822,5,2,8,262,5,0,3,6,3,False,False,True
135,686,20250822,3,1,1,30,6,3,2,26,1,False,False,True
136,229,20250822,5,3,8,161,7,0,2,22,4,False,True,True
137,806,20250822,2,3,7,112,3,1,3,17,2,False,True,True
138,885,20250822,4,1,8,187,2,2,1,23,0,False,True,False
139,929,20250822,5,5,4,66,6,2,3,20,2,False,False,True
140,926,20250822,3,5,7,147,5,0,3,2,3,False,False,False
141,341,20250822,1,4,2,289,8,1,3,27,0,False,True,False
142,448,20250822,5,2,3,92,5,1,2,21,1,False,False,True
143,921,20250822,3,0,0,0,0,0,0,15,33,True,False,True
144,356,20250822,3,3,3,146,4,3,3,12,3,False,False,True
145,920,20250822,3,2,1,233,5,4,1,2,3,False,False,False
146,148,20250822,2,1,5,136,6,2,3,9,3,False,True,True
147,305,20250822,4,0,0,0,0,0,0,11,48,True,False,False
148,294,20250822,4,3,2,109,1,1,2,8,7,False,True,True
149,703,20250822,5,3,3,206,7,3,2,8,7,False,False,False
150,126,20250822,1,2,3,226,10,1,2,1,6,False,False,False
151,475,20250822,5,0,0,0,0,0,0,1,46,True,False,False
152,61,20250822,5,3,1,10,9,4,1,29,0,False,False,True
153,219,20250822,3,5,4,194,4,3,2,1,2,False,True,True
154,155,20250822,1,2,2,200,7,2,3,29,3,False,False,False
155,83,20250822,4,0,0,0,0,0,0,14,10,True,True,True
156,232,20250822,4,4,2,59,6,3,1,14,4,False,False,False
157,250,20250822,1,5,7,104,1,2,1,14,3,False,False,True
158,96,20250822,5,5,1,260,0,3,1,17,7,False,True,True
159,949,20250822,5,1,7,93,1,4,3,22,4,False,True,True
160,994,20250822,3,0,0,0,0,0,0,12,19,True,False,True
161,153,20250822,3,1,2,229,2,4,3,3,2,False,False,True
162,660,20250822,5,4,1,52,8,0,2,21,0,False,False,True
163,500,20250822,5,0,0,0,0,0,0,15,48,True,True,True
164,566,20250822,4,5,7,135,4,2,3,14,6,False,False,True
165,666,20250822,1,0,0,0,0,0,0,3,42,True,False,True
166,681,20250822,5,0,0,0,0,0,0,9,26,True,True,True
167,579,20250822,4,3,6,29,7,4,3,22,3,False,True,False
168,1,20250822,5,1,8,158,0,2,2,14,6,False,True,False
169,582,20250822,4,2,7,167,0,4,1,30,5,False,False,False
170,452,20250822,1,0,0,0,0,0,0,5,56,True,False,False
171,30,20250822,3,3,1,262,9,2,1,12,3,False,True,False
172,179,20250822,5,1,7,43,5,0,2,20,4,False,True,True
173,23,20250822,2,5,8,91,8,0,3,7,0,False,True,True
174,744,20250822,1,5,3,300,8,4,2,15,5,False,False,True
175,758,20250822,1,0,0,0,0,0,0,1,51,True,True,True
176,977,20250822,4,0,0,0,0,0,0,8,15,True,True,False
177,139,20250822,2,5,4,122,6,5,1,25,4,False,True,False
178,992,20250822,5,5,7,224,7,0,2,21,2,False,False,True
179,592,20250822,2,4,2,201,2,0,1,1,1,False,True,True
180,659,20250822,5,1,3,263,7,1,2,9,2,False,True,False
181,128,20250822,2,0,0,0,0,0,0,6,59,True,True,False
182,880,20250822,4,0,0,0,0,0,0,9,26,True,True,False
183,455,20250822,2,0,0,0,0,0,0,11,45,True,False,False
184,15,20250822,5,2,1,189,0,4,1,20,5,False,False,False
185,720,20250822,2,5,6,121,8,1,3,9,0,False,True,False
186,8,20250822,2,4,1,193,2,3,3,11,4,False,True,False
187,514,20250822,3,0,0,0,0,0,0,5,19,True,False,True
188,439,20250822,4,4,1,216,6,3,1,23,4,False,True,True
189,230,20250822,1,4,7,238,9,0,2,2,2,False,False,True
190,121,20250822,3,3,2,38,3,3,2,18,3,False,True,False
191,638,20250822,5,0,0,0,0,0,0,8,19,True,True,True
192,336,20250822,5,2,2,282,9,0,3,22,5,False,False,False
193,406,20250822,2,4,4,126,6,2,2,15,2,False,True,False
194,438,20250822,3,0,0,0,0,0,0,9,8,True,True,True
195,382,20250822,3,0,0,0,0,0,0,13,55,True,False,False
196,416,20250822,5,3,8,300,5,1,1,16,1,False,False,True
197,98,20250822,1,4,8,273,5,3,2,16,6,False,False,True
198,938,20250822,3,1,1,155,4,0,2,3,2,False,True,True
199,544,20250822,5,5,5,14,1,3,1,7,5,False,False,True
200,241,20250822,2,5,4,92,9,0,3,25,3,False,False,True
201,779,20250822,3,3,4,255,10,1,1,16,0,False,True,False
202,549,20250822,1,4,4,170,5,4,2,25,4,False,False,False
203,511,20250822,2,4,1,139,3,3,1,25,1,False,False,False
204,524,20250822,1,0,0,0,0,0,0,10,13,True,True,True
205,282,20250822,3,5,5,147,1,1,3,30,4,False,True,False
206,257,20250822,5,2,7,213,9,2,3,20,4,False,True,True
207,728,20250822,4,1,1,167,2,0,1,14,3,False,True,True
208,552,20250822,2,0,0,0,0,0,0,12,28,True,True,False
209,746,20250822,5,1,7,60,0,0,3,4,7,False,False,True
210,372,20250822,4,0,0,0,0,0,0,7,40,True,False,False
211,131,20250822,3,4,1,197,2,3,1,26,4,False,False,False
212,458,20250822,1,0,0,0,0,0,0,10,60,True,False,False
213,111,20250822,1,3,4,234,3,5,2,18,4,False,True,False
214,38,20250822,2,0,0,0,0,0,0,2,11,True,True,False
215,775,20250822,3,1,6,107,5,5,1,26,0,False,True,True
216,670,20250822,1,0,0,0,0,0,0,8,23,True,False,True
217,208,20250822,2,3,1,74,0,1,1,26,0,False,False,False
218,889,20250822,4,0,0,0,0,0,0,12,48,True,True,True
219,108,20250822,5,4,6,201,8,0,2,30,1,False,True,True
220,313,20250822,5,5,5,223,10,5,2,18,5,False,True,False
221,919,20250822,2,0,0,0,0,0,0,15,46,True,True,False
222,446,20250822,5,4,5,102,7,5,1,17,2,False,True,True
223,676,20250822,5,0,0,0,0,0,0,10,47,True,True,True
224,373,20250822,4,3,1,256,9,1,1,8,0,False,False,False
225,663,20250822,3,1,1,186,0,3,2,25,7,False,True,False
226,231,20250822,4,3,4,42,2,1,2,24,1,False,False,False
227,650,20250822,4,0,0,0,0,0,0,12,16,True,True,False
228,853,20250822,2,5,7,42,0,3,2,24,0,False,False,True
229,981,20250822,2,5,8,228,6,5,3,18,0,False,True,False
230,114,20250822,5,0,0,0,0,0,0,2,60,True,True,False
231,706,20250822,3,0,0,0,0,0,0,9,38,True,False,True
232,107,20250822,4,2,2,142,7,0,2,23,6,False,True,True
233,476,20250822,1,0,0,0,0,0,0,11,53,True,False,True
234,401,20250822,3,3,8,82,3,4,2,28,6,False,True,True
235,614,20250822,2,5,7,163,10,0,1,22,3,False,False,False
236,523,20250822,1,4,7,299,4,3,2,1,4,False,False,True
237,343,20250822,5,4,1,286,1,2,1,13,2,False,False,True
238,174,20250822,1,3,1,89,4,1,2,26,7,False,True,True
239,698,20250822,4,0,0,0,0,0,0,0,14,True,False,True
240,771,20250822,1,0,0,0,0,0,0,6,60,True,True,False
241,550,20250822,1,1,4,243,9,3,3,11,3,False,True,False
242,626,20250822,4,5,7,24,2,0,2,4,7,False,True,True
243,165,20250822,2,5,8,125,4,0,2,8,1,False,False,False
244,429,20250822,4,4,3,102,1,2,2,26,5,False,False,False
245,263,20250822,5,5,5,162,1,1,2,10,7,False,True,True
246,995,20250822,4,0,0,0,0,0,0,2,33,True,True,False
247,190,20250822,1,0,0,0,0,0,0,4,37,True,True,False
248,576,20250822,3,0,0,0,0,0,0,10,39,True,True,False
249,693,20250822,4,4,4,174,3,3,3,14,7,False,True,True
250,45,20250822,1,3,4,115,8,4,1,19,0,False,False,False
251,747,20250822,2,4,4,64,3,2,3,7,4,False,True,False
252,862,20250822,4,5,4,63,10,5,2,18,1,False,False,False
253,605,20250822,2,4,4,17,10,1,1,30,1,False,False,True
254,940,20250822,3,1,4,91,2,5,3,10,0,False,False,False
255,857,20250822,3,4,6,148,7,3,1,29,4,False,True,True
256,333,20250822,1,0,0,0,0,0,0,5,17,True,True,True
257,974,20250822,1,2,4,263,4,2,1,25,5,False,False,True
258,869,20250822,4,3,4,264,5,3,2,9,0,False,False,False
259,577,20250822,4,1,3,252,9,2,2,10,6,False,False,True
260,787,20250822,5,0,0,0,0,0,0,9,27,True,True,True
261,654,20250822,4,5,3,123,3,5,2,14,3,False,False,True
262,525,20250822,4,3,1,299,8,3,2,7,6,False,False,True
263,956,20250822,3,2,7,127,1,4,2,20,5,False,False,False
264,297,20250822,5,2,7,214,9,2,2,8,4,False,False,True
265,254,20250822,4,4,1,145,7,2,2,8,2,False,False,False
266,763,20250822,5,0,0,0,0,0,0,7,14,True,False,False
267,421,20250822,3,4,8,21,5,2,2,1,0,False,False,False
268,783,20250822,2,2,7,159,7,4,1,14,5,False,False,False
269,29,20250822,4,4,7,280,7,0,1,24,4,False,True,False
270,968,20250822,1,4,6,162,8,4,3,22,5,False,True,True
271,164,20250822,5,0,0,0,0,0,0,1,30,True,True,False
272,978,20250822,1,2,2,292,3,4,3,16,2,False,True,True
273,625,20250822,3,3,5,135,2,4,2,12,6,False,True,False
274,962,20250822,5,4,3,215,8,5,1,29,5,False,True,False
275,790,20250822,1,0,0,0,0,0,0,4,28,True,True,True
276,640,20250822,5,0,0,0,0,0,0,13,52,True,True,True
277,795,20250822,2,0,0,0,0,0,0,2,32,True,True,False
278,679,20250822,2,5,6,219,1,0,2,22,6,False,False,True
279,906,20250822,3,0,0,0,0,0,0,7,30,True,False,True
280,25,20250822,4,0,0,0,0,0,0,7,21,True,True,True
281,7,20250822,4,3,2,45,3,5,3,9,4,False,True,True
282,380,20250822,4,4,7,166,10,0,3,2,4,False,False,False
283,867,20250822,4,4,3,167,6,4,2,19,7,False,False,True
284,928,20250822,5,1,1,46,5,2,2,21,1,False,False,True
285,538,20250822,2,5,7,240,3,3,2,27,6,False,False,False
286,753,20250822,1,0,0,0,0,0,0,14,21,True,False,True
287,504,20250822,2,0,0,0,0,0,0,6,25,True,True,True
288,594,20250822,2,4,3,280,9,4,2,8,4,False,False,False
289,344,20250822,3,1,6,175,7,3,3,29,0,False,False,False
290,482,20250822,2,0,0,0,0,0,0,6,39,True,False,True
291,833,20250822,2,0,0,0,0,0,0,14,53,True,True,True
292,391,20250822,3,3,1,180,9,2,2,22,5,False,True,False
293,248,20250822,4,2,5,124,6,1,1,3,7,False,False,True
294,936,20250822,5,1,7,88,3,4,3,24,1,False,True,False
295,266,20250822,1,0,0,0,0,0,0,6,58,True,True,False
296,449,20250822,5,0,0,0,0,0,0,6,49,True,False,False
297,44,20250822,1,1,3,142,9,1,2,8,1,False,True,False
298,704,20250822,3,3,5,246,2,1,3,30,0,False,False,False
299,736,20250822,5,5,2,181,8,5,1,29,2,False,False,False
300,355,20250822,4,3,5,33,6,5,2,17,2,False,True,True
301,922,20250822,1,0,0,0,0,0,0,6,34,True,False,True
302,200,20250822,4,1,7,262,5,0,1,9,4,False,False,True
303,359,20250822,4,5,4,36,8,0,1,20,2,False,True,False
304,264,20250822,3,5,3,96,7,1,2,14,1,False,True,True
305,397,20250822,2,2,5,41,7,2,3,22,5,False,True,True
306,924,20250822,4,2,5,295,8,5,1,15,2,False,True,False
307,158,20250822,4,0,0,0,0,0,0,5,11,True,True,True
308,408,20250822,3,5,5,238,4,2,3,9,4,False,False,True
309,189,20250822,4,5,6,167,10,5,2,19,7,False,False,False
310,870,20250822,1,3,6,88,2,0,1,26,1,False,False,False
311,700,20250822,2,1,5,276,1,2,2,20,5,False,True,False
312,377,20250822,3,5,6,183,10,3,2,29,2,False,False,False
313,279,20250822,4,5,6,92,1,2,2,9,2,False,True,True
314,398,20250822,3,0,0,0,0,0,0,14,24,True,True,False
315,696,20250822,1,2,3,281,3,0,1,6,0,False,False,True
316,909,20250822,4,5,7,233,8,0,3,1,2,False,False,True
317,453,20250822,2,3,3,153,7,3,2,27,4,False,False,True
318,982,20250822,3,5,7,225,6,5,1,2,6,False,False,True
319,562,20250822,2,1,8,87,4,4,3,13,3,False,True,False
320,307,20250822,1,4,1,29,8,0,3,15,2,False,False,False
321,402,20250822,1,1,3,181,6,0,1,20,7,False,False,False
322,162,20250822,4,4,7,199,0,1,3,20,5,False,True,False
323,176,20250822,3,1,4,15,4,3,2,27,3,False,False,True
324,93,20250822,2,5,4,119,0,3,1,18,5,False,False,True
325,136,20250822,1,4,5,271,1,0,2,26,7,False,False,False
326,545,20250822,3,5,1,202,4,1,2,19,6,False,True,True
327,685,20250822,1,0,0,0,0,0,0,9,14,True,False,False
328,735,20250822,3,4,3,15,4,1,2,17,4,False,False,False
329,251,20250822,4,0,0,0,0,0,0,8,34,True,True,False
330,122,20250822,3,0,0,0,0,0,0,8,35,True,True,False
331,337,20250822,2,3,4,246,1,1,1,22,0,False,True,False
332,204,20250822,4,0,0,0,0,0,0,9,26,True,False,False
333,285,20250822,2,0,0,0,0,0,0,13,17,True,False,False
334,167,20250822,5,1,6,49,1,5,1,23,5,False,True,True
335,247,20250822,4,0,0,0,0,0,0,8,19,True,False,True
336,916,20250822,1,2,7,153,7,1,2,4,4,False,False,True
337,275,20250822,4,4,8,50,2,4,1,30,7,False,False,True
338,24,20250822,1,1,6,124,10,2,2,12,5,False,False,False
339,124,20250822,1,3,8,60,10,0,2,5,5,False,True,True
340,507,20250822,2,3,7,65,9,2,3,1,2,False,True,False
341,875,20250822,2,4,7,41,0,0,3,11,3,False,False,True
342,278,20250822,2,1,7,173,9,5,2,2,5,False,False,True
343,815,20250822,3,2,8,197,8,0,1,20,0,False,True,True
344,878,20250822,2,4,4,18,8,5,2,18,6,False,True,True
345,677,20250822,3,5,3,213,10,5,2,23,6,False,True,False
346,367,20250822,1,5,5,141,5,0,2,5,7,False,False,True
347,503,20250822,3,1,3,43,4,3,3,15,4,False,False,False
348,195,20250822,1,0,0,0,0,0,0,10,42,True,True,True
349,196,20250822,3,5,8,143,1,4,3,24,1,False,True,False
350,445,20250822,2,0,0,0,0,0,0,12,50,True,False,False
351,939,20250822,5,2,5,183,5,0,3,28,1,False,True,True
352,725,20250822,4,3,5,234,7,3,2,7,3,False,True,True
353,804,20250822,5,0,0,0,0,0,0,3,27,True,False,True
354,891,20250822,2,2,2,92,4,2,2,13,7,False,False,True
355,255,20250822,5,0,0,0,0,0,0,0,15,True,True,True
356,854,20250822,2,2,6,81,6,4,3,23,3,False,False,False
357,80,20250822,1,3,7,58,4,5,1,23,7,False,False,False
358,479,20250822,2,2,3,89,6,4,1,30,6,False,True,False
359,145,20250822,4,1,1,267,9,4,2,13,7,False,False,False
360,41,20250822,5,3,6,243,6,2,2,27,3,False,False,True
361,863,20250822,4,2,2,92,8,2,3,2,2,False,True,True
362,688,20250822,3,5,7,69,7,5,3,30,6,False,True,False
363,822,20250822,5,1,6,233,10,4,3,11,0,False,True,True
364,990,20250822,5,3,8,182,9,0,2,3,5,False,False,False
365,908,20250822,3,5,4,265,9,3,1,16,7,False,False,False
366,95,20250822,3,3,5,13,4,1,3,17,1,False,False,True
367,428,20250822,5,2,7,181,7,2,2,11,3,False,True,True
368,782,20250822,2,1,6,75,7,4,2,30,0,False,True,True
369,732,20250822,1,0,0,0,0,0,0,4,47,True,True,False
370,648,20250822,1,0,0,0,0,0,0,8,45,True,True,True
371,252,20250822,1,3,1,157,7,5,3,24,5,False,False,True
372,225,20250822,5,5,5,125,1,3,3,17,1,False,False,False
373,447,20250822,1,0,0,0,0,0,0,8,38,True,False,False
374,652,20250822,2,0,0,0,0,0,0,9,39,True,True,True
375,796,20250822,1,5,1,157,8,2,2,8,6,False,True,False
376,568,20250822,5,0,0,0,0,0,0,5,49,True,False,True
377,559,20250822,4,3,2,53,9,3,3,17,5,False,False,False
378,379,20250822,1,0,0,0,0,0,0,7,60,True,True,False
379,895,20250822,5,2,3,69,1,1,2,29,4,False,False,True
380,127,20250822,3,2,7,273,7,2,2,13,1,False,True,False
381,884,20250822,1,2,1,228,2,3,2,20,1,False,False,True
382,427,20250822,4,2,5,161,8,4,1,21,3,False,True,True
383,353,20250822,2,3,3,113,0,5,2,26,3,False,False,False
384,403,20250822,1,5,1,214,4,2,2,10,6,False,True,True
385,118,20250822,1,3,1,173,0,0,3,7,7,False,True,False
386,489,20250822,4,1,4,248,1,2,1,8,0,False,True,True
387,10,20250822,5,1,5,271,7,1,3,6,6,False,False,True
388,986,20250822,5,4,6,44,4,2,1,30,3,False,False,False
389,133,20250822,4,2,1,262,0,4,2,6,4,False,False,False
390,478,20250822,1,4,6,108,4,4,3,4,1,False,True,True
391,412,20250822,4,0,0,0,0,0,0,5,55,True,True,False
392,618,20250822,3,4,3,149,1,5,3,5,7,False,False,False
393,893,20250822,4,3,7,71,8,3,2,13,5,False,True,False
394,770,20250822,4,0,0,0,0,0,0,12,55,True,False,False
395,716,20250822,5,1,4,203,10,0,1,15,7,False,True,True
396,395,20250822,1,0,0,0,0,0,0,11,28,True,False,True
397,635,20250822,3,0,0,0,0,0,0,9,18,True,True,False
398,422,20250822,4,0,0,0,0,0,0,8,29,True,True,False
399,941,20250822,3,4,1,46,7,1,3,1,5,False,True,False
400,942,20250822,3,1,2,248,3,3,1,5,0,False,True,False
401,554,20250822,4,0,0,0,0,0,0,10,10,True,False,False
402,561,20250822,3,4,8,22,5,5,3,26,3,False,True,True
403,835,20250822,2,0,0,0,0,0,0,3,35,True,True,False
404,234,20250822,5,0,0,0,0,0,0,9,11,True,False,False
405,496,20250822,2,3,2,262,3,3,3,12,4,False,False,False
406,560,20250822,4,0,0,0,0,0,0,0,27,True,True,True
407,74,20250822,1,4,5,232,1,4,3,28,0,False,False,True
408,223,20250822,4,4,2,252,1,4,1,3,7,False,True,False
409,22,20250822,5,5,6,207,9,1,3,5,0,False,False,False
410,146,20250822,3,3,2,284,6,4,2,1,2,False,True,True
411,515,20250822,4,4,2,149,9,4,2,3,1,False,True,False
412,35,20250822,3,0,0,0,0,0,0,6,17,True,False,True
413,125,20250822,2,1,2,112,5,2,3,30,4,False,False,False
414,293,20250822,1,1,7,171,4,4,3,2,4,False,False,False
415,812,20250822,3,4,7,121,2,3,2,11,4,False,False,False
416,16,20250822,1,0,0,0,0,0,0,2,43,True,True,False
417,363,20250822,5,4,5,276,8,1,3,2,7,False,True,True
418,19,20250822,1,0,0,0,0,0,0,4,51,True,True,False
419,547,20250822,3,2,3,77,3,5,2,5,4,False,False,True
420,308,20250822,4,2,2,108,7,3,3,15,5,False,True,False
421,780,20250822,2,0,0,0,0,0,0,9,47,True,False,True
422,59,20250822,1,0,0,0,0,0,0,4,55,True,False,True
423,805,20250822,1,2,7,162,7,5,2,15,0,False,False,False
424,437,20250822,1,0,0,0,0,0,0,15,42,True,True,True
425,915,20250822,2,0,0,0,0,0,0,9,24,True,True,False
426,989,20250822,3,5,8,106,5,4,2,5,2,False,False,True
427,57,20250822,5,0,0,0,0,0,0,10,29,True,False,True
428,91,20250822,2,2,8,222,9,1,1,24,2,False,True,True
429,242,20250822,1,2,3,145,1,3,3,7,2,False,True,False
430,764,20250822,1,2,1,39,0,4,1,3,4,False,False,False
